20100121083727R:A1504,0 15,  00000090, 0, 0
20100121083757R:A1501,0 15,  00001274,0, 0
20100121083757R:A1510,0 15,  00001274, 1, 0, 0, 0
20100121083806R:A1510,0 15,  00001274, 9, 0, 0, 0
20100121083811R:A1503,0 15,  00001274, 0, 0
20100121083811S:A1503,0015,  00001274,01,00
20100121083818R:A1501,0 15,  00000155,0, 0
20100121083818R:A1510,0 15,  00000155, 1, 0, 1, 0
20100121083827R:A1510,0 15,  00000155, 9, 0, 1, 0
20100121083829R:U1500,0 15,  00001274, 0
20100121083829S:U1500,0 15,  00001274,00
20100121083839R:A1504,0 15,  00001274, 0, 0
20100121083839R:A1503,0 15,  00000155, 0, 0
20100121083840S:A1503,0015,  00000155,01,00
20100121083847S:A1500,0015,  00001171,1, 0,00
20100121083851R:A1501,0 15,  00000121,0, 0
20100121083851R:A1510,0 15,  00000121, 1, 0, 1, 0
20100121083856R:U1500,0 15,  00000155, 0
20100121083856S:U1500,0 15,  00000155,00
20100121083900R:A1510,0 15,  00000121, 9, 0, 0, 0
20100121083918R:A1504,0 15,  00000155, 0, 0
20100121083918R:A1503,0 15,  00000121, 0, 0
20100121083919S:A1503,0015,  00000121,01,00
20100121083923S:A1500,0015,  00001195,1, 0,00
20100121083925R:U1500,0 15,  00000121, 0
20100121083925S:U1500,0 15,  00000121,00
20100121083946S:A1500,0015,  00000134,1, 0,00
20100121083958R:A1504,0 15,  00000121, 0, 0
20100121084006S:A1500,0015,  00000071,1, 0,00
20100121084010R:A1501,0 15,  00001195,0, 0
20100121084011R:A1510,0 15,  00001195, 1, 0, 0, 0
20100121084019R:A1510,0 15,  00001195, 9, 0, 0, 0
20100121084024R:A1503,0 15,  00001195, 0, 0
20100121084025S:A1503,0015,  00001195,01,00
20100121084033R:A1501,0 15,  00000134,0, 0
20100121084033R:A1510,0 15,  00000134, 1, 0, 1, 0
20100121084034S:A1500,0015,  00001148,1, 0,00
20100121084042R:A1510,0 15,  00000134, 9, 0, 1, 0
20100121084044R:U1500,0 15,  00001195, 0
20100121084044S:U1500,0 15,  00001195,00
20100121084053R:A1504,0 15,  00001195, 0, 0
20100121084053R:A1503,0 15,  00000134, 0, 0
20100121084054S:A1503,0015,  00000134,01,00
20100121084100R:U1500,0 15,  00000134, 0
20100121084100S:U1500,0 15,  00000134,00
20100121084108S:A1500,0015,  00001193,1, 0,00
20100121084133R:A1504,0 15,  00000134, 0, 0
20100121084145R:A1501,0 15,  00000071,0, 0
20100121084145R:A1510,0 15,  00000071, 1, 0, 0, 0
20100121084154R:A1510,0 15,  00000071, 9, 0, 0, 0
20100121084158R:A1503,0 15,  00000071, 0, 0
20100121084159S:A1503,0015,  00000071,01,00
20100121084207R:A1501,0 15,  00001148,0, 0
20100121084207R:A1510,0 15,  00001148, 1, 0, 1, 0
20100121084208S:A1500,0015,  00000135,1, 0,00
20100121084216R:A1510,0 15,  00001148, 9, 0, 1, 0
20100121084218R:U1500,0 15,  00000071, 0
20100121084218S:U1500,0 15,  00000071,00
20100121084228R:A1504,0 15,  00000071, 0, 0
20100121084228R:A1503,0 15,  00001148, 0, 0
20100121084229S:A1503,0015,  00001148,01,00
20100121084234R:U1500,0 15,  00001148, 0
20100121084234S:U1500,0 15,  00001148,00
20100121084308R:A1504,0 15,  00001148, 0, 0
20100121084320R:A1501,0 15,  00001193,0, 0
20100121084320R:A1510,0 15,  00001193, 1, 0, 0, 0
20100121084329R:A1510,0 15,  00001193, 9, 0, 0, 0
20100121084333R:A1503,0 15,  00001193, 0, 0
20100121084334S:A1503,0015,  00001193,01,00
20100121084340R:U1500,0 15,  00001193, 0
20100121084340S:U1500,0 15,  00001193,00
20100121084347R:A1504,0 15,  00001193, 0, 0
20100121084356S:A1500,0015,  00001003,1, 0,00
20100121084400R:A1501,0 15,  00000135,0, 0
20100121084400R:A1510,0 15,  00000135, 1, 0, 0, 0
20100121084409R:A1510,0 15,  00000135, 9, 0, 0, 0
20100121084410S:A1500,0015,  00001026,1, 0,00
20100121084413R:A1503,0 15,  00000135, 0, 0
20100121084420S:A1503,0015,  00000135,01,00
20100121084425R:A1501,0 15,  00001003,0, 0
20100121084425R:A1510,0 15,  00001003, 1, 0, 1, 0
20100121084426S:A1500,0015,  00001106,1, 0,00
20100121084434R:A1510,0 15,  00001003, 9, 0, 1, 0
20100121084436R:U1500,0 15,  00000135, 0
20100121084436S:U1500,0 15,  00000135,00
20100121084445R:A1504,0 15,  00000135, 0, 0
